"Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"Region","Chowan","VSCIVCPMI","70Pct",36,60.0719374299815,"",56.833959591192,64.5465574764847
"Region","Chowan","VSCIVCPMI","75Pct",41,61.9853074235263,"",58.1678859818699,70.8252539921871
"Region","Chowan","VSCIVCPMI","80Pct",48,63.6364107388128,"",59.7186151089671,72.5444036610045
"Region","Chowan","VSCIVCPMI","85Pct",48,65.2515620268732,"",61.6976938452406,73.6106466064542
"Region","Chowan","VSCIVCPMI","90Pct",56,72.1700113105929,"",64.1121696041124,78.3062142705122
"Region","Chowan","VSCIVCPMI","95Pct",57,72.9644266182268,"",67.8242748347474,88.14
"Region","Chowan","VSCIVCPMI","99Pct",64,81.0100820769181,"",77.9639078523072,87.4803664113122
"Region","Chowan","VSCIVCPMI","Mean",68,51.327959902972,"2.57785362598178",46.2754596386318,56.3804601673123
"Region","Chowan","VSCIVCPMI","Variance",68,261.59434995956,"57.6852827073984",148.533273415048,374.655426504072
"Region","Chowan","VSCIVCPMI","Std. Deviation",68,16.1738786306674,"1.78328538332237",12.6787035051989,19.669053756136
"Region","Tennessee","VSCIVCPMI","1Pct",1,33.5068862009417,"",33.13,34.1100817974671
"Region","Tennessee","VSCIVCPMI","5Pct",2,37.0669111442344,"",35.2036916209935,37.9823909224925
"Region","Tennessee","VSCIVCPMI","10Pct",5,38.4530470250829,"",33.8106041098486,47.7253039321188
"Region","Tennessee","VSCIVCPMI","15Pct",9,45.0721648937567,"",37.9595766620259,50.8334376883791
"Region","Tennessee","VSCIVCPMI","20Pct",15,50.2037826356302,"",39.2808620552955,52.9402360392591
"Region","Tennessee","VSCIVCPMI","25Pct",17,51.2010020422268,"",44.6956632026314,54.9466096279128
"Region","Tennessee","VSCIVCPMI","30Pct",22,52.969747667713,"",49.8159248502484,59.2671037954517
"Region","Tennessee","VSCIVCPMI","35Pct",28,54.2340690633252,"",50.8816953103311,60.9953174687413
"Region","Tennessee","VSCIVCPMI","40Pct",36,58.7252862626954,"",52.932430420143,62.015058464039
"Region","Tennessee","VSCIVCPMI","45Pct",39,60.439112978542,"",54.1857479793179,63.0637934622439
"Region","Tennessee","VSCIVCPMI","50Pct",44,61.9945152087106,"",58.2921290785175,63.6606930457888
"Region","Tennessee","VSCIVCPMI","55Pct",48,62.9325330599247,"",59.9701942592167,66.5629938360386
"Region","Tennessee","VSCIVCPMI","60Pct",49,63.6409174490793,"",61.9772894856338,68.8588950278411
"Region","Tennessee","VSCIVCPMI","65Pct",54,66.1910432177284,"",62.8452290812211,70.255664931184
"Region","Tennessee","VSCIVCPMI","70Pct",60,68.6443771354038,"",63.6368350663319,71.6065798575426
"Region","Tennessee","VSCIVCPMI","75Pct",68,70.0768514846285,"",66.376268725025,74.6550389317645
"Region","Tennessee","VSCIVCPMI","80Pct",75,71.60532880685,"",68.8756113752447,77.3069215494306
"Region","Tennessee","VSCIVCPMI","85Pct",82,74.9065516450612,"",71.170618556131,77.7370008997705
"Region","Tennessee","VSCIVCPMI","90Pct",89,77.6478593139949,"",72.577437645464,79.5904335302161
"Region","Tennessee","VSCIVCPMI","95Pct",92,79.1246671642774,"",77.1881426955935,81.90945824
"Region","Tennessee","VSCIVCPMI","99Pct",93,79.732992569794,"",79.49661387637,81.90945824
"Region","Tennessee","VSCIVCPMI","Mean",95,60.4134166902395,"1.48548505566947",57.5019194815548,63.3249138989241
"Region","Tennessee","VSCIVCPMI","Variance",95,158.230528061689,"22.2060309682817",114.707507124276,201.753548999102
"Region","Tennessee","VSCIVCPMI","Std. Deviation",95,12.5789716615345,"0.88266479827544",10.8489804464934,14.3089628765757
"Region","Holston","VSCIVCPMI","1Pct",1,53.3,"",53.3,53.8851726561743
"Region","Holston","VSCIVCPMI","5Pct",2,54.2181049455875,"",53.3,61.7193805081585
"Region","Holston","VSCIVCPMI","10Pct",5,61.1966439709338,"",53.4645039119294,62.4614053363983
"Region","Holston","VSCIVCPMI","15Pct",6,62.2913535551258,"",54.3851119336351,63.0608892316043
"Region","Holston","VSCIVCPMI","20Pct",7,62.6576381342989,"",60.7229427225588,63.5575462572373
